"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2008","6.6",""
"Albania","2008","109.9",""
"Algeria","2008","146.6",""
"Andorra","2008","2169.3",""
"Angola","2008","124.9",""
"Antigua and Barbuda","2008","465.7",""
"Argentina","2008","424.1",""
"Armenia","2008","69.1",""
"Australia","2008","2875.4",""
"Austria","2008","3977.2",""
"Azerbaijan","2008","45.4",""
"Bahamas","2008","794.2",""
"Bahrain","2008","532.9",""
"Bangladesh","2008","6.8",""
"Barbados","2008","671.7",""
"Belarus","2008","246.1",""
"Belgium","2008","3531.4",""
"Belize","2008","153.4",""
"Benin","2008","15.8",""
"Bhutan","2008","82.0",""
"Bolivia (Plurinational State of)","2008","54.4",""
"Bosnia and Herzegovina","2008","287.6",""
"Botswana","2008","213.9",""
"Brazil","2008","305.4",""
"Brunei Darussalam","2008","747.8",""
"Bulgaria","2008","277.5",""
"Burkina Faso","2008","22.8",""
"Burundi","2008","6.3",""
"Cabo Verde","2008","112.1",""
"Cambodia","2008","7.6",""
"Cameroon","2008","12.5",""
"Canada","2008","3259.0",""
"Central African Republic","2008","10.9",""
"Chad","2008","5.8",""
"Chile","2008","323.7",""
"China","2008","77.4",""
"Colombia","2008","253.9",""
"Comoros","2008","24.9",""
"Congo","2008","37.9",""
"Cook Islands","2008","420.2",""
"Costa Rica","2008","412.2",""
"Côte d’Ivoire","2008","20.3",""
"Croatia","2008","1038.8",""
"Cuba","2008","557.0",""
"Cyprus","2008","902.6",""
"Czech Republic","2008","1222.3",""
"Democratic People's Republic of Korea","2008","4.1",""
"Democratic Republic of the Congo","2008","6.9",""
"Denmark","2008","5414.2",""
"Djibouti","2008","65.9",""
"Dominica","2008","196.4",""
"Dominican Republic","2008","124.5",""
"Ecuador","2008","96.9",""
"Egypt","2008","42.7",""
"El Salvador","2008","129.1",""
"Equatorial Guinea","2008","421.1",""
"Eritrea","2008","5.0",""
"Estonia","2008","837.5",""
"Ethiopia","2008","7.0",""
"Fiji","2008","116.1",""
"Finland","2008","3175.5",""
"France","2008","3746.2",""
"Gabon","2008","112.6",""
"Gambia","2008","13.0",""
"Georgia","2008","51.6",""
"Germany","2008","3606.4",""
"Ghana","2008","40.0",""
"Greece","2008","1996.9",""
"Grenada","2008","213.9",""
"Guatemala","2008","68.8",""
"Guinea","2008","5.8",""
"Guinea-Bissau","2008","6.6",""
"Guyana","2008","133.4",""
"Haiti","2008","9.0",""
"Honduras","2008","70.6",""
"Hungary","2008","768.3",""
"Iceland","2008","4111.2",""
"India","2008","11.4",""
"Indonesia","2008","21.9",""
"Iran (Islamic Republic of)","2008","122.4",""
"Iraq","2008","106.1",""
"Ireland","2008","4065.0",""
"Israel","2008","1288.0",""
"Italy","2008","2716.4",""
"Jamaica","2008","145.9",""
"Japan","2008","2651.4",""
"Jordan","2008","201.9",""
"Kazakhstan","2008","193.9",""
"Kenya","2008","13.0",""
"Kiribati","2008","156.0",""
"Kuwait","2008","824.6",""
"Kyrgyzstan","2008","30.9",""
"Lao People's Democratic Republic","2008","8.7",""
"Latvia","2008","608.9",""
"Lebanon","2008","189.8",""
"Lesotho","2008","50.1",""
"Liberia","2008","9.0",""
"Libya","2008","216.2",""
"Lithuania","2008","676.5",""
"Luxembourg","2008","7346.9",""
"Madagascar","2008","10.5",""
"Malawi","2008","18.4",""
"Malaysia","2008","160.4",""
"Maldives","2008","338.9",""
"Mali","2008","20.9",""
"Malta","2008","1035.8",""
"Marshall Islands","2008","482.7",""
"Mauritania","2008","23.5",""
"Mauritius","2008","140.5",""
"Mexico","2008","281.1",""
"Micronesia (Federated States of)","2008","292.1",""
"Monaco","2008","5809.0",""
"Mongolia","2008","84.0",""
"Montenegro","2008","292.8",""
"Morocco","2008","54.3",""
"Mozambique","2008","12.7",""
"Myanmar","2008","1.1",""
"Namibia","2008","156.3",""
"Nauru","2008","495.8",""
"Nepal","2008","10.6",""
