Country Name,Country Code,Series Name,Series Code,1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,"Under-5 mortality rate (per 1,000 live births): Q5 (highest)",SH.DYN.MORT.Q5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84,..,..,..,40,..,..
Afghanistan,AFG,"Under-5 mortality rate (per 1,000 live births): Q4",SH.DYN.MORT.Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113,..,..,..,51,..,..
Afghanistan,AFG,"Under-5 mortality rate (per 1,000 live births): Q3",SH.DYN.MORT.Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,112,..,..,..,71,..,..
Afghanistan,AFG,"Under-5 mortality rate (per 1,000 live births): Q2",SH.DYN.MORT.Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94,..,..,..,64,..,..
Afghanistan,AFG,"Under-5 mortality rate (per 1,000 live births): Q1 (lowest)",SH.DYN.MORT.Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,104,..,..,..,81,..,..
Afghanistan,AFG,"Treatment of diarrhea (ORS, RHS or increased fluids) (% of children under 5): Q5 (highest)",SH.STA.ORHF.Q5.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.4,..,..,..,58.7,..,..
Afghanistan,AFG,"Treatment of diarrhea (ORS, RHS or increased fluids) (% of children under 5): Q4",SH.STA.ORHF.Q4.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.9,..,..,..,61.2,..,..
Afghanistan,AFG,"Treatment of diarrhea (ORS, RHS or increased fluids) (% of children under 5): Q3",SH.STA.ORHF.Q3.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.7,..,..,..,54.2,..,..
Afghanistan,AFG,"Treatment of diarrhea (ORS, RHS or increased fluids) (% of children under 5): Q2",SH.STA.ORHF.Q2.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.8,..,..,..,61.9,..,..
Afghanistan,AFG,"Treatment of diarrhea (ORS, RHS or increased fluids) (% of children under 5): Q1 (lowest)",SH.STA.ORHF.Q1.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,75,..,..,..,56.7,..,..
Albania,ALB,"Under-5 mortality rate (per 1,000 live births): Q5 (highest)",SH.DYN.MORT.Q5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..,..,..,..,..,..,..
Albania,ALB,"Under-5 mortality rate (per 1,000 live births): Q4",SH.DYN.MORT.Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20,..,..,..,..,..,..,..,..
Albania,ALB,"Under-5 mortality rate (per 1,000 live births): Q3",SH.DYN.MORT.Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,..,..,..,..,..,..,..,..
Albania,ALB,"Under-5 mortality rate (per 1,000 live births): Q2",SH.DYN.MORT.Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..,..,..,..,..,..,..
Albania,ALB,"Under-5 mortality rate (per 1,000 live births): Q1 (lowest)",SH.DYN.MORT.Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34,..,..,..,..,..,..,..,..
Albania,ALB,"Treatment of diarrhea (ORS, RHS or increased fluids) (% of children under 5): Q5 (highest)",SH.STA.ORHF.Q5.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.3,..,..,..,..,..,..,..,..
Albania,ALB,"Treatment of diarrhea (ORS, RHS or increased fluids) (% of children under 5): Q4",SH.STA.ORHF.Q4.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.3,..,..,..,..,..,..,..,..
Albania,ALB,"Treatment of diarrhea (ORS, RHS or increased fluids) (% of children under 5): Q3",SH.STA.ORHF.Q3.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.6,..,..,..,..,..,..,..,..
Albania,ALB,"Treatment of diarrhea (ORS, RHS or increased fluids) (% of children under 5): Q2",SH.STA.ORHF.Q2.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89,..,..,..,..,..,..,..,..
Albania,ALB,"Treatment of diarrhea (ORS, RHS or increased fluids) (% of children under 5): Q1 (lowest)",SH.STA.ORHF.Q1.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.4,..,..,..,..,..,..,..,..
Algeria,DZA,"Under-5 mortality rate (per 1,000 live births): Q5 (highest)",SH.DYN.MORT.Q5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.5,..,..,..,..
Algeria,DZA,"Under-5 mortality rate (per 1,000 live births): Q4",SH.DYN.MORT.Q4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.8,..,..,..,..
Algeria,DZA,"Under-5 mortality rate (per 1,000 live births): Q3",SH.DYN.MORT.Q3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.7,..,..,..,..
Algeria,DZA,"Under-5 mortality rate (per 1,000 live births): Q2",SH.DYN.MORT.Q2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.4,..,..,..,..
